100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,Gb,MM_tag,N25,N50,N75,accession,assembly,basecaller,basecaller_model,basecaller_version,bioproject_accession,biosample_accession,ccs_algorithm,coverage,data_type,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,library_ID,library_layout,library_selection,library_source,library_strategy,max,mean,min,notes,ntsm_result,ntsm_score,path,platform,polymerase_version,quartile_25,quartile_50,quartile_75,read_N50,result,sample,sample_ID,seq_kit,seq_plate_chemistry_version,shear_method,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,Sample,Accession,familyID,Subpopulation,Superpopulation,Production Year
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,20731.0,22740.0,25670.0,SRR13684390,N/A,N/A,N/A,N/A,N/A,SAMN17861664,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200603_012738.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02622_lib1,single,size fractionation,GENOMIC,WGS,49813.0,22969.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200603_012738.ccs.bam,PACBIO_SMRT,,20396.0,22214.0,24844.0,N/A,N/A,N/A,HG02622,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,35.16,35155415627.0,1530497.0,N/A,HG02622,SAMN17861664,GB31,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,20764.0,22784.0,25744.0,SRR13684390,N/A,N/A,N/A,N/A,N/A,SAMN17861664,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200604_075218.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02622_lib1,single,size fractionation,GENOMIC,WGS,50214.0,23018.0,47.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200604_075218.ccs.bam,PACBIO_SMRT,,20424.0,22252.0,24909.0,N/A,N/A,N/A,HG02622,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,34.7,34702534691.0,1507617.0,N/A,HG02622,SAMN17861664,GB31,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,20811.0,22892.0,25951.0,SRR13684390,N/A,N/A,N/A,N/A,N/A,SAMN17861664,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200530_164723.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02622_lib1,single,size fractionation,GENOMIC,WGS,49910.0,23125.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200530_164723.ccs.bam,PACBIO_SMRT,,20458.0,22331.0,25075.0,N/A,N/A,N/A,HG02622,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,37.23,37233379263.0,1610050.0,N/A,HG02622,SAMN17861664,GB31,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,20958.0,23109.0,26215.0,SRR13684390,N/A,N/A,N/A,N/A,N/A,SAMN17861664,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200601_191521.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02622_lib1,single,size fractionation,GENOMIC,WGS,49954.0,23320.0,46.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02622/raw_data/PacBio_HiFi/m64043_200601_191521.ccs.bam,PACBIO_SMRT,,20594.0,22526.0,25327.0,N/A,N/A,N/A,HG02622,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,36.9,36900505572.0,1582321.0,N/A,HG02622,SAMN17861664,GB31,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18152.0,21403.0,25741.0,SRR29405822,N/A,N/A,N/A,N/A,N/A,SAMN41021691,7.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84091_231106_194835_s4.hifi_reads.bc1001.bam,N/A,vgl-lab@rockefeller.edu,Rockefeller University,Revio,HG02624_PB1_m84091_231106_194835_s4,single,size fractionation,GENOMIC,WGS,61392.0,21215.0,126.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02624/raw_data/PacBio_HiFi/m84091_231106_194835_s4.hifi_reads.bc1001.bam,PACBIO_SMRT,Revio P1,17347.0,20121.0,24002.0,N/A,N/A,N/A,HG02624,N/A,Revio C1,Megaruptor 3,Pippin HT,SRP305758,N/A,60.42,60423047644.0,2848011.0,N/A,HG02624,SAMN41021691,,GWD,AFR,YR4
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18409.0,21808.0,26342.0,SRR29405821,N/A,N/A,N/A,N/A,N/A,SAMN41021691,7.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84091_231113_162942_s4.hifi_reads.bc1001.bam,N/A,vgl-lab@rockefeller.edu,Rockefeller University,Revio,HG02624_PB1_m84091_231113_162942_s4,single,size fractionation,GENOMIC,WGS,72097.0,21567.0,80.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02624/raw_data/PacBio_HiFi/m84091_231113_162942_s4.hifi_reads.bc1001.bam,PACBIO_SMRT,Revio P1,17534.0,20443.0,24485.0,N/A,N/A,N/A,HG02624,N/A,Revio C1,Megaruptor 3,Pippin HT,SRP305758,N/A,72.41,72407932208.0,3357318.0,N/A,HG02624,SAMN41021691,,GWD,AFR,YR4
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18713.0,22358.0,27192.0,SRR29405820,N/A,N/A,N/A,N/A,N/A,SAMN41021691,7.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84091_231214_211211_s3.hifi_reads.bc1001.bam,N/A,vgl-lab@rockefeller.edu,Rockefeller University,Revio,HG02624_PB1_m84091_231214_211211_s3,single,size fractionation,GENOMIC,WGS,66338.0,22035.0,146.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02624/raw_data/PacBio_HiFi/m84091_231214_211211_s3.hifi_reads.bc1001.bam,PACBIO_SMRT,Revio P1,17740.0,20852.0,25145.0,N/A,N/A,N/A,HG02624,N/A,Revio C1,Megaruptor 3,Pippin HT,SRP305758,N/A,47.93,47928785289.0,2175052.0,N/A,HG02624,SAMN41021691,,GWD,AFR,YR4
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,14319.0,17514.0,21621.0,SRR29405819,N/A,N/A,N/A,N/A,N/A,SAMN41021691,7.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m84091_240221_215958_s3.hifi_reads.bc1001.bam,N/A,vgl-lab@rockefeller.edu,Rockefeller University,Revio,HG02624_PB1_m84091_240221_215958_s3,single,size fractionation,GENOMIC,WGS,51714.0,16859.0,268.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02624/raw_data/PacBio_HiFi/m84091_240221_215958_s3.hifi_reads.bc1001.bam,PACBIO_SMRT,Revio P1,13197.0,16006.0,19706.0,N/A,N/A,N/A,HG02624,N/A,Revio C1,Megaruptor 3,Pippin HT,SRP305758,N/A,9.77,9765699517.0,579245.0,N/A,HG02624,SAMN41021691,,GWD,AFR,YR4
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17152.0,18935.0,21316.0,SRR13684389,N/A,N/A,N/A,N/A,N/A,SAMN17861665,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200501_162248.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02630_lib1,single,size fractionation,GENOMIC,WGS,49817.0,18982.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200501_162248.ccs.bam,PACBIO_SMRT,,16796.0,18472.0,20639.0,N/A,N/A,N/A,HG02630,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,39.4,39398066325.0,2075445.0,N/A,HG02630,SAMN17861665,GB33,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17331.0,19165.0,21633.0,SRR13684389,N/A,N/A,N/A,N/A,N/A,SAMN17861665,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200505_112554.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02630_lib1,single,size fractionation,GENOMIC,WGS,48960.0,19212.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200505_112554.ccs.bam,PACBIO_SMRT,,16966.0,18683.0,20926.0,N/A,N/A,N/A,HG02630,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,36.59,36589957988.0,1904474.0,N/A,HG02630,SAMN17861665,GB33,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17403.0,19260.0,21751.0,SRR13684389,N/A,N/A,N/A,N/A,N/A,SAMN17861665,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200504_050026.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02630_lib1,single,size fractionation,GENOMIC,WGS,49274.0,19300.0,46.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200504_050026.ccs.bam,PACBIO_SMRT,,17031.0,18769.0,21036.0,N/A,N/A,N/A,HG02630,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,37.59,37589214946.0,1947611.0,N/A,HG02630,SAMN17861665,GB33,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17527.0,19449.0,22047.0,SRR13684389,N/A,N/A,N/A,N/A,N/A,SAMN17861665,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200502_223511.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02630_lib1,single,size fractionation,GENOMIC,WGS,49229.0,19481.0,46.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02630/raw_data/PacBio_HiFi/m64043_200502_223511.ccs.bam,PACBIO_SMRT,,17138.0,18926.0,21293.0,N/A,N/A,N/A,HG02630,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,37.43,37434888190.0,1921608.0,N/A,HG02630,SAMN17861665,GB33,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17462.0,19578.0,23288.0,SRR18189652,N/A,N/A,N/A,N/A,N/A,SAMN26237509,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64136_210517_184202.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02698_lib1,single,size fractionation,GENOMIC,WGS,56902.0,19940.0,633.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/m64136_210517_184202.hifi_reads.bam,PACBIO_SMRT,P2,17123.0,18854.0,22222.0,N/A,N/A,N/A,HG02698,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,32.78,32782437878.0,1644028.0,N/A,HG02698,SAMN26237509,PK21,PJL,SAS,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17461.0,19577.0,23289.0,SRR18189652,N/A,N/A,N/A,N/A,N/A,SAMN26237509,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64136_210514_184433.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02698_lib1,single,size fractionation,GENOMIC,WGS,57438.0,19944.0,84.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/m64136_210514_184433.hifi_reads.bam,PACBIO_SMRT,P2,17123.0,18853.0,22227.0,N/A,N/A,N/A,HG02698,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,31.5,31502958375.0,1579519.0,N/A,HG02698,SAMN26237509,PK21,PJL,SAS,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17554.0,19788.0,23507.0,SRR18189652,N/A,N/A,N/A,N/A,N/A,SAMN26237509,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_210519_013026.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02698_lib1,single,size fractionation,GENOMIC,WGS,54640.0,20083.0,86.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/m64043_210519_013026.hifi_reads.bam,PACBIO_SMRT,P2,17194.0,18998.0,22461.0,N/A,N/A,N/A,HG02698,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,33.18,33178464571.0,1652007.0,N/A,HG02698,SAMN26237509,PK21,PJL,SAS,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,15108.0,16669.0,19437.0,SRR13684388,N/A,N/A,N/A,N/A,N/A,SAMN17861666,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200403_163826.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02717_lib1,single,size fractionation,GENOMIC,WGS,49781.0,17048.0,48.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200403_163826.ccs.bam,PACBIO_SMRT,,14838.0,16196.0,18413.0,N/A,N/A,N/A,HG02717,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,36.34,36342520970.0,2131662.0,N/A,HG02717,SAMN17861666,GB50,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,15160.0,16748.0,19581.0,SRR13684388,N/A,N/A,N/A,N/A,N/A,SAMN17861666,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200408_064651.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02717_lib1,single,size fractionation,GENOMIC,WGS,49936.0,17129.0,47.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200408_064651.ccs.bam,PACBIO_SMRT,,14884.0,16265.0,18536.0,N/A,N/A,N/A,HG02717,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,34.82,34817299277.0,2032542.0,N/A,HG02717,SAMN17861666,GB50,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,15188.0,16776.0,19595.0,SRR13684388,N/A,N/A,N/A,N/A,N/A,SAMN17861666,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200405_180950.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02717_lib1,single,size fractionation,GENOMIC,WGS,49958.0,17151.0,46.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200405_180950.ccs.bam,PACBIO_SMRT,,14913.0,16294.0,18565.0,N/A,N/A,N/A,HG02717,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,34.32,34324816343.0,2001329.0,N/A,HG02717,SAMN17861666,GB50,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,15201.0,16818.0,19702.0,SRR13684388,N/A,N/A,N/A,N/A,N/A,SAMN17861666,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200407_002219.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02717_lib1,single,size fractionation,GENOMIC,WGS,46041.0,17192.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02717/raw_data/PacBio_HiFi/m64043_200407_002219.ccs.bam,PACBIO_SMRT,,14920.0,16320.0,18637.0,N/A,N/A,N/A,HG02717,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,34.81,34814542915.0,2024928.0,N/A,HG02717,SAMN17861666,GB50,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,17476.0,20753.0,24073.0,SRR18189651,N/A,N/A,N/A,N/A,N/A,SAMN26237510,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_210723_184340.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02809_lib1,single,size fractionation,GENOMIC,WGS,63434.0,20456.0,111.0,bc1019 barcoded adapter,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m64043_210723_184340.hifi_reads.bam,PACBIO_SMRT,P2,17008.0,19683.0,22941.0,N/A,N/A,N/A,HG02809,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,29.21,29214139102.0,1428112.0,N/A,HG02809,SAMN26237510,GB63,GWD,AFR,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18029.0,21588.0,25022.0,SRR18189651,N/A,N/A,N/A,N/A,N/A,SAMN26237510,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_210728_163353.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02809_lib1,single,size fractionation,GENOMIC,WGS,60391.0,21178.0,111.0,bc1019 barcoded adapter,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m64043_210728_163353.hifi_reads.bam,PACBIO_SMRT,P2,17406.0,20602.0,23832.0,N/A,N/A,N/A,HG02809,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,31.7,31703994871.0,1496989.0,N/A,HG02809,SAMN26237510,GB63,GWD,AFR,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18360.0,21931.0,25380.0,SRR18189651,N/A,N/A,N/A,N/A,N/A,SAMN26237510,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_210726_163819.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02809_lib1,single,size fractionation,GENOMIC,WGS,63495.0,21488.0,111.0,bc1019 barcoded adapter,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m64043_210726_163819.hifi_reads.bam,PACBIO_SMRT,P2,17624.0,20956.0,24189.0,N/A,N/A,N/A,HG02809,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,24.56,24556655893.0,1142800.0,N/A,HG02809,SAMN26237510,GB63,GWD,AFR,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18342.0,21941.0,25421.0,SRR18189651,N/A,N/A,N/A,N/A,N/A,SAMN26237510,10.1.0.115913,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_210725_053930.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02809_lib1,single,size fractionation,GENOMIC,WGS,64323.0,21494.0,187.0,bc1019 barcoded adapter,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02809/raw_data/PacBio_HiFi/m64043_210725_053930.hifi_reads.bam,PACBIO_SMRT,P2,17612.0,20949.0,24207.0,N/A,N/A,N/A,HG02809,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,28.58,28581238388.0,1329702.0,N/A,HG02809,SAMN26237510,GB63,GWD,AFR,YR2
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,15933.0,17391.0,19669.0,SRR13684387,N/A,N/A,N/A,N/A,N/A,SAMN17861667,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200410_214826.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02886_lib1,single,size fractionation,GENOMIC,WGS,50049.0,17675.0,47.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200410_214826.ccs.bam,PACBIO_SMRT,,15688.0,17002.0,18953.0,N/A,N/A,N/A,HG02886,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,34.1,34103394360.0,1929448.0,N/A,HG02886,SAMN17861667,GB89,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,16010.0,17504.0,19854.0,SRR13684387,N/A,N/A,N/A,N/A,N/A,SAMN17861667,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200412_040054.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02886_lib1,single,size fractionation,GENOMIC,WGS,48163.0,17797.0,47.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200412_040054.ccs.bam,PACBIO_SMRT,,15758.0,17100.0,19106.0,N/A,N/A,N/A,HG02886,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,35.97,35972927628.0,2021284.0,N/A,HG02886,SAMN17861667,GB89,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,16104.0,17657.0,20126.0,SRR13684387,N/A,N/A,N/A,N/A,N/A,SAMN17861667,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200414_165107.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02886_lib1,single,size fractionation,GENOMIC,WGS,50292.0,17954.0,45.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200414_165107.ccs.bam,PACBIO_SMRT,,15840.0,17229.0,19327.0,N/A,N/A,N/A,HG02886,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,33.76,33758955124.0,1880255.0,N/A,HG02886,SAMN17861667,GB89,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,16302.0,17984.0,20716.0,SRR13684387,N/A,N/A,N/A,N/A,N/A,SAMN17861667,8.0.0.80529,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_200413_102554.ccs.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02886_lib1,single,size fractionation,GENOMIC,WGS,48532.0,18277.0,46.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02886/raw_data/PacBio_HiFi/m64043_200413_102554.ccs.bam,PACBIO_SMRT,,16011.0,17500.0,19798.0,N/A,N/A,N/A,HG02886,N/A,,Megaruptor 1,SageELF,SRP305758,N/A,33.57,33571543462.0,1836728.0,N/A,HG02886,SAMN17861667,GB89,GWD,AFR,YR1
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18087.0,20257.0,24333.0,SRR23732290,N/A,N/A,N/A,N/A,N/A,SAMN33621954,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220717_152237-bc1017.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02965_lib1,single,size fractionation,GENOMIC,WGS,67060.0,20743.0,61.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m64043_220717_152237-bc1017.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,17692.0,19502.0,22679.0,N/A,N/A,N/A,HG02965,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,40.12,40119820394.0,1934110.0,N/A,HG02965,SAMN33621954,NG20,ESN,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18128.0,20329.0,24489.0,SRR23732290,N/A,N/A,N/A,N/A,N/A,SAMN33621954,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220719_122051-bc1017.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02965_lib1,single,size fractionation,GENOMIC,WGS,66417.0,20820.0,61.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m64043_220719_122051-bc1017.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,17723.0,19557.0,22800.0,N/A,N/A,N/A,HG02965,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,41.99,41992148990.0,2016822.0,N/A,HG02965,SAMN33621954,NG20,ESN,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18203.0,20521.0,24916.0,SRR23732290,N/A,N/A,N/A,N/A,N/A,SAMN33621954,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220715_182700-bc1017.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02965_lib1,single,size fractionation,GENOMIC,WGS,73722.0,20989.0,61.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02965/raw_data/PacBio_HiFi/m64043_220715_182700-bc1017.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,17769.0,19678.0,23131.0,N/A,N/A,N/A,HG02965,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,35.65,35646111219.0,1698253.0,N/A,HG02965,SAMN33621954,NG20,ESN,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18278.0,19846.0,21842.0,SRR23732289,N/A,N/A,N/A,N/A,N/A,SAMN33621955,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220726_203720-bc1009.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02976_lib1,single,size fractionation,GENOMIC,WGS,57617.0,19914.0,205.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m64043_220726_203720-bc1009.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,18011.0,19503.0,21372.0,N/A,N/A,N/A,HG02976,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,15.05,15045982932.0,755542.0,N/A,HG02976,SAMN33621955,NG24,ESN,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18311.0,19886.0,21906.0,SRR23732289,N/A,N/A,N/A,N/A,N/A,SAMN33621955,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220621_134351-bc1009.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02976_lib1,single,size fractionation,GENOMIC,WGS,54707.0,19958.0,214.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m64043_220621_134351-bc1009.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,18038.0,19542.0,21427.0,N/A,N/A,N/A,HG02976,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,25.12,25120924503.0,1258651.0,N/A,HG02976,SAMN33621955,NG24,ESN,AFR,YR3
N/A,N/A,N/A,N/A,N/A,N/A,,N/A,False,18314.0,19893.0,21915.0,SRR23732289,N/A,N/A,N/A,N/A,N/A,SAMN33621955,6.0.0,N/A,unaligned reads,HiFi sequencing of 20kb fractionated gDNA,m64043_220619_164635-bc1009.5mc.hifi_reads.bam,N/A,tgraves@wustl.edu,Washington University,PacBio Sequel II,HG02976_lib1,single,size fractionation,GENOMIC,WGS,69085.0,19961.0,633.0,,N/A,N/A,s3://human-pangenomics/working/HPRC/HG02976/raw_data/PacBio_HiFi/m64043_220619_164635-bc1009.5mc.hifi_reads.bam,PACBIO_SMRT,P2.2,18043.0,19546.0,21434.0,N/A,N/A,N/A,HG02976,N/A,C2,Megaruptor 1,SageELF,SRP305758,N/A,37.29,37286464203.0,1867914.0,N/A,HG02976,SAMN33621955,NG24,ESN,AFR,YR3
